year,state,state_fips,candidate,party,candidatevotes,totalvotes,vote_share,two_party_votes,two_party_vote_share
1988,Ohio,39,"BUSH, GEORGE H.W.",Republican,2416549,4393585,55.00175825,4356178,55.47406465
1988,Ohio,39,"DUKAKIS, MICHAEL",Democrat,1939629,4393585,44.14684136,4356178,44.52593535
1992,Ohio,39,"CLINTON, BILL",Democrat,1984942,4939967,40.18128056,3879252,51.16816335
1992,Ohio,39,"BUSH, GEORGE H.W.",Republican,1894310,4939967,38.34661244,3879252,48.83183665
1996,Ohio,39,"CLINTON, BILL",Democrat,2148222,4534434,47.37574745,4008105,53.59694918
1996,Ohio,39,"DOLE, ROBERT",Republican,1859883,4534434,41.01687223,4008105,46.40305082
2000,Ohio,39,"BUSH, GEORGE W.",Republican,2350363,4701998,49.98647384,4533991,51.83872222
2000,Ohio,39,"GORE, AL",Democrat,2183628,4701998,46.44042809,4533991,48.16127778
2004,Ohio,39,"BUSH, GEORGE W.",Republican,2859764,5627903,50.81402434,5600929,51.058744
2004,Ohio,39,"KERRY, JOHN",Democrat,2741165,5627903,48.70668524,5600929,48.941256
2008,Ohio,39,"OBAMA, BARACK H.",Democrat,2940044,5708350,51.50427006,5617864,52.33384076
2008,Ohio,39,"MCCAIN, JOHN",Republican,2677820,5708350,46.91057836,5617864,47.66615924
2012,Ohio,39,"OBAMA, BARACK H.",Democrat,2827621,5580822,50.66674766,5489028,51.51405677
2012,Ohio,39,"ROMNEY, MITT",Republican,2661407,5580822,47.68844088,5489028,48.48594323
2016,Ohio,39,"TRUMP, DONALD J.",Republican,2841005,5496487,51.68765068,5235169,54.26768458
2016,Ohio,39,"CLINTON, HILLARY",Democrat,2394164,5496487,43.55807628,5235169,45.73231542
2020,Ohio,39,"TRUMP, DONALD J.",Republican,3154834,5922202,53.2713001,5833999,54.07669765
2020,Ohio,39,"BIDEN, JOSEPH R. JR",Democrat,2679165,5922202,45.23933834,5833999,45.92330235
1948,Oklahoma,40,Harry Truman,Democrat,452782,721599,62.74703817,721599,62.74703817
1948,Oklahoma,40,Thomas Dewey,Republican,268817,721599,37.25296183,721599,37.25296183
1952,Oklahoma,40,Adlai Stevenson,Democrat,430939,948984,45.4105654,948984,45.4105654
1952,Oklahoma,40,Dwight Eisenhower,Republican,518045,948984,54.5894346,948984,54.5894346
1956,Oklahoma,40,Adlai Stevenson,Democrat,385581,859350,44.86891255,859350,44.86891255
1956,Oklahoma,40,Dwight Eisenhower,Republican,473769,859350,55.13108745,859350,55.13108745
1960,Oklahoma,40,John Kennedy,Democrat,370111,903150,40.98001439,903150,40.98001439
1960,Oklahoma,40,Richard Nixon,Republican,533039,903150,59.01998561,903150,59.01998561
1964,Oklahoma,40,Lyndon Johnson,Democrat,519834,932499,55.74633324,932499,55.74633324
1964,Oklahoma,40,Barry Goldwater,Republican,412665,932499,44.25366676,932499,44.25366676
1968,Oklahoma,40,Hubert Humphrey,Democrat,301658,943086,31.98626636,751355,40.14853165
1968,Oklahoma,40,Richard Nixon,Republican,449697,943086,47.68356226,751355,59.85146835
1972,Oklahoma,40,George McGovern,Democrat,247147,1029900,23.99718419,1006172,24.56309657
1972,Oklahoma,40,Richard Nixon,Republican,759025,1029900,73.69890281,1006172,75.43690343
1976,Oklahoma,40,"FORD, GERALD",Republican,545708,1092251,49.96177619,1078150,50.61522052
1976,Oklahoma,40,"CARTER, JIMMY",Democrat,532442,1092251,48.74722019,1078150,49.38477948
1980,Oklahoma,40,"REAGAN, RONALD",Republican,695570,1149708,60.49970949,1097596,63.37213328
1980,Oklahoma,40,"CARTER, JIMMY",Democrat,402026,1149708,34.96766135,1097596,36.62786672
1984,Oklahoma,40,"REAGAN, RONALD",Republican,861530,1255676,68.61085184,1246610,69.10982585
1984,Oklahoma,40,"MONDALE, WALTER",Democrat,385080,1255676,30.66714662,1246610,30.89017415
1988,Oklahoma,40,"BUSH, GEORGE H.W.",Republican,678367,1171036,57.92879126,1161790,58.38981227
1988,Oklahoma,40,"DUKAKIS, MICHAEL",Democrat,483423,1171036,41.28165146,1161790,41.61018773
1992,Oklahoma,40,"BUSH, GEORGE H.W.",Republican,592929,1390359,42.64574833,1065995,55.6221183
1992,Oklahoma,40,"CLINTON, BILL",Democrat,473066,1390359,34.0247375,1065995,44.3778817
1996,Oklahoma,40,"DOLE, ROBERT",Republican,582315,1206713,48.25629624,1070420,54.40060911
1996,Oklahoma,40,"CLINTON, BILL",Democrat,488105,1206713,40.44913745,1070420,45.59939089
2000,Oklahoma,40,"BUSH, GEORGE W.",Republican,744337,1234229,60.30785211,1218613,61.08067122
2000,Oklahoma,40,"GORE, AL",Democrat,474276,1234229,38.42690457,1218613,38.91932878
2004,Oklahoma,40,"BUSH, GEORGE W.",Republican,959792,1463758,65.57040166,1463758,65.57040166
2004,Oklahoma,40,"KERRY, JOHN",Democrat,503966,1463758,34.42959834,1463758,34.42959834
2008,Oklahoma,40,"MCCAIN, JOHN",Republican,960165,1462661,65.64508112,1462661,65.64508112
2008,Oklahoma,40,"OBAMA, BARACK H.",Democrat,502496,1462661,34.35491888,1462661,34.35491888
2012,Oklahoma,40,"ROMNEY, MITT",Republican,891325,1334872,66.77231974,1334872,66.77231974
2012,Oklahoma,40,"OBAMA, BARACK H.",Democrat,443547,1334872,33.22768026,1334872,33.22768026
2016,Oklahoma,40,"TRUMP, DONALD J.",Republican,949136,1452992,65.32286482,1369511,69.30473724
2016,Oklahoma,40,"CLINTON, HILLARY",Democrat,420375,1452992,28.93168028,1369511,30.69526276
2020,Oklahoma,40,"TRUMP, DONALD J.",Republican,1020280,1560699,65.37327185,1524170,66.9400395
2020,Oklahoma,40,"BIDEN, JOSEPH R. JR",Democrat,503890,1560699,32.28617434,1524170,33.0599605
1948,Oregon,41,Harry Truman,Democrat,243147,524080,46.39501603,504051,48.2385711
1948,Oregon,41,Thomas Dewey,Republican,260904,524080,49.7832392,504051,51.7614289
1952,Oregon,41,Adlai Stevenson,Democrat,270579,695059,38.92892546,691394,39.13528321
1952,Oregon,41,Dwight Eisenhower,Republican,420815,695059,60.54378118,691394,60.86471679
1956,Oregon,41,Adlai Stevenson,Democrat,329204,735597,44.75330922,735597,44.75330922
1956,Oregon,41,Dwight Eisenhower,Republican,406393,735597,55.24669078,735597,55.24669078
1960,Oregon,41,John Kennedy,Democrat,367402,776421,47.31994627,775462,47.378466
1960,Oregon,41,Richard Nixon,Republican,408060,776421,52.55653827,775462,52.621534
1964,Oregon,41,Lyndon Johnson,Democrat,501017,786305,63.71789573,783796,63.92186232
1964,Oregon,41,Barry Goldwater,Republican,282779,786305,35.9630169,783796,36.07813768
1968,Oregon,41,Hubert Humphrey,Democrat,358866,819622,43.78432985,767299,46.77003359
1968,Oregon,41,Richard Nixon,Republican,408433,819622,49.83187372,767299,53.22996641
1972,Oregon,41,George McGovern,Democrat,392760,927946,42.32573878,879446,44.65993364
1972,Oregon,41,Richard Nixon,Republican,486686,927946,52.44766398,879446,55.34006636
1976,Oregon,41,"FORD, GERALD",Republican,492120,1029876,47.78439346,982527,50.08717318
1976,Oregon,41,"CARTER, JIMMY",Democrat,490407,1029876,47.61806276,982527,49.91282682
1980,Oregon,41,"REAGAN, RONALD",Republican,571044,1181516,48.33146568,1027934,55.55259384
1980,Oregon,41,"CARTER, JIMMY",Democrat,456890,1181516,38.66981065,1027934,44.44740616
1984,Oregon,41,"REAGAN, RONALD",Republican,685700,1226527,55.90582189,1222179,56.10471134
1984,Oregon,41,"MONDALE, WALTER",Democrat,536479,1226527,43.73968123,1222179,43.89528866
1988,Oregon,41,"DUKAKIS, MICHAEL",Democrat,616206,1201694,51.2781124,1176332,52.3836808
1988,Oregon,41,"BUSH, GEORGE H.W.",Republican,560126,1201694,46.61136695,1176332,47.6163192
1992,Oregon,41,"CLINTON, BILL",Democrat,621314,1462643,42.47885506,1097071,56.63389152
1992,Oregon,41,"BUSH, GEORGE H.W.",Republican,475757,1462643,32.52721272,1097071,43.36610848
1996,Oregon,41,"CLINTON, BILL",Democrat,649641,1377760,47.15197132,1187793,54.69311572
1996,Oregon,41,"DOLE, ROBERT",Republican,538152,1377760,39.05992335,1187793,45.30688428
2000,Oregon,41,"GORE, AL",Democrat,720342,1533950,46.95994002,1433919,50.23589199
2000,Oregon,41,"BUSH, GEORGE W.",Republican,713577,1533950,46.51892174,1433919,49.76410801
2004,Oregon,41,"KERRY, JOHN",Democrat,943163,1836782,51.34866304,1809994,52.10862577
2004,Oregon,41,"BUSH, GEORGE W.",Republican,866831,1836782,47.19291674,1809994,47.89137423
2008,Oregon,41,"OBAMA, BARACK H.",Democrat,1037291,1827864,56.74880626,1775766,58.41372118
2008,Oregon,41,"MCCAIN, JOHN",Republican,738475,1827864,40.40098169,1775766,41.58627882
2012,Oregon,41,"OBAMA, BARACK H.",Democrat,970488,1789270,54.23932665,1724663,56.27116718
2012,Oregon,41,"ROMNEY, MITT",Republican,754175,1789270,42.14987118,1724663,43.72883282
2016,Oregon,41,"CLINTON, HILLARY",Democrat,1002106,2001336,50.071852,1784509,56.15583895
2016,Oregon,41,"TRUMP, DONALD J.",Republican,782403,2001336,39.09403518,1784509,43.84416105
2020,Oregon,41,"TRUMP, DONALD J.",Republican,958448,2374321,40.36724605,2298831,41.69284301
2020,Oregon,41,"BIDEN, JOSEPH R. JR",Democrat,1340383,2374321,56.45331865,2298831,58.30715699
1948,Pennsylvania,42,Harry Truman,Democrat,1752426,3735148,46.91717704,3654623,47.95093776
1948,Pennsylvania,42,Thomas Dewey,Republican,1902197,3735148,50.92695122,3654623,52.04906224
1952,Pennsylvania,42,Adlai Stevenson,Democrat,2146269,4580969,46.85185602,4562058,47.04607
1952,Pennsylvania,42,Dwight Eisenhower,Republican,2415789,4580969,52.73532739,4562058,52.95393
1956,Pennsylvania,42,Adlai Stevenson,Democrat,1981769,4576503,43.30312905,4567021,43.39303454
1956,Pennsylvania,42,Dwight Eisenhower,Republican,2585252,4576503,56.48968219,4567021,56.60696546
1960,Pennsylvania,42,John Kennedy,Democrat,2556282,5006541,51.05884482,4996238,51.1641359
1960,Pennsylvania,42,Richard Nixon,Republican,2439956,5006541,48.7353644,4996238,48.8358641
1964,Pennsylvania,42,Lyndon Johnson,Democrat,3130954,4822690,64.92131984,4804611,65.16560862
1964,Pennsylvania,42,Barry Goldwater,Republican,1673657,4822690,34.70380638,4804611,34.83439138
1968,Pennsylvania,42,Hubert Humphrey,Democrat,2259405,4747928,47.58717908,4349422,51.94724724
1968,Pennsylvania,42,Richard Nixon,Republican,2090017,4747928,44.01955969,4349422,48.05275276
1972,Pennsylvania,42,George McGovern,Democrat,1796951,4592105,39.13131342,4511472,39.83070271
1972,Pennsylvania,42,Richard Nixon,Republican,2714521,4592105,59.11278161,4511472,60.16929729
1976,Pennsylvania,42,"CARTER, JIMMY",Democrat,2328677,4620787,50.39567935,4534281,51.35713909
1976,Pennsylvania,42,"FORD, GERALD",Republican,2205604,4620787,47.73221531,4534281,48.64286091
1980,Pennsylvania,42,"REAGAN, RONALD",Republican,2261872,4561501,49.58613404,4199412,53.86163587
1980,Pennsylvania,42,"CARTER, JIMMY",Democrat,1937540,4561501,42.47593062,4199412,46.13836413
1984,Pennsylvania,42,"REAGAN, RONALD",Republican,2584323,4844903,53.34106792,4812454,53.70073148
1984,Pennsylvania,42,"MONDALE, WALTER",Democrat,2228131,4844903,45.98917667,4812454,46.29926852
1988,Pennsylvania,42,"BUSH, GEORGE H.W.",Republican,2300087,4536251,50.70457962,4495031,51.169547
1988,Pennsylvania,42,"DUKAKIS, MICHAEL",Democrat,2194944,4536251,48.3867405,4495031,48.830453
1992,Pennsylvania,42,"CLINTON, BILL",Democrat,2239164,4959810,45.14616487,4031005,55.54852946
1992,Pennsylvania,42,"BUSH, GEORGE H.W.",Republican,1791841,4959810,36.12721052,4031005,44.45147054
1996,Pennsylvania,42,"CLINTON, BILL",Democrat,2215819,4501307,49.22612477,4016988,55.16120536
1996,Pennsylvania,42,"DOLE, ROBERT",Republican,1801169,4501307,40.01435583,4016988,44.83879464
2000,Pennsylvania,42,"GORE, AL",Democrat,2485967,4912185,50.60817131,4767094,52.14847872
2000,Pennsylvania,42,"BUSH, GEORGE W.",Republican,2281127,4912185,46.43813293,4767094,47.85152128
2004,Pennsylvania,42,"KERRY, JOHN",Democrat,2938095,5769590,50.92380914,5731942,51.2582821
2004,Pennsylvania,42,"BUSH, GEORGE W.",Republican,2793847,5769590,48.42366615,5731942,48.7417179
2008,Pennsylvania,42,"OBAMA, BARACK H.",Democrat,3276363,6013272,54.48552801,5932248,55.22970382
2008,Pennsylvania,42,"MCCAIN, JOHN",Republican,2655885,6013272,44.16705248,5932248,44.77029618
2012,Pennsylvania,42,"OBAMA, BARACK H.",Democrat,2990274,5742040,52.0768577,5670708,52.731934
2012,Pennsylvania,42,"ROMNEY, MITT",Republican,2680434,5742040,46.68086603,5670708,47.268066
2016,Pennsylvania,42,"TRUMP, DONALD J.",Republican,2970733,6115402,48.5778858,5897174,50.37553581
2016,Pennsylvania,42,"CLINTON, HILLARY",Democrat,2926441,6115402,47.85361616,5897174,49.62446419
2020,Pennsylvania,42,"TRUMP, DONALD J.",Republican,3377674,6915283,48.84361204,6835903,49.41079474
2020,Pennsylvania,42,"BIDEN, JOSEPH R. JR",Democrat,3458229,6915283,50.00849568,6835903,50.58920526
1948,Rhode Island,44,Harry Truman,Democrat,188736,327702,57.59378948,324523,58.15797339
1948,Rhode Island,44,Thomas Dewey,Republican,135787,327702,41.43612184,324523,41.84202661
1952,Rhode Island,44,Adlai Stevenson,Democrat,203293,414498,49.0455925,414228,49.07756115
1952,Rhode Island,44,Dwight Eisenhower,Republican,210935,414498,50.88926846,414228,50.92243885
1956,Rhode Island,44,Adlai Stevenson,Democrat,161790,387611,41.74030149,387609,41.74051686
1956,Rhode Island,44,Dwight Eisenhower,Republican,225819,387611,58.25918253,387609,58.25948314
1960,Rhode Island,44,John Kennedy,Democrat,258032,405535,63.62755373,405534,63.62771062
1960,Rhode Island,44,Richard Nixon,Republican,147502,405535,36.37219969,405534,36.37228938
1964,Rhode Island,44,Lyndon Johnson,Democrat,315463,390091,80.86907927,390078,80.87177436
1964,Rhode Island,44,Barry Goldwater,Republican,74615,390091,19.12758818,390078,19.12822564
1968,Rhode Island,44,Hubert Humphrey,Democrat,246518,385000,64.03064935,368877,66.82932251
1968,Rhode Island,44,Richard Nixon,Republican,122359,385000,31.78155844,368877,33.17067749
1972,Rhode Island,44,George McGovern,Democrat,194645,415808,46.81126866,415028,46.89924535
1972,Rhode Island,44,Richard Nixon,Republican,220383,415808,53.00114476,415028,53.10075465
1976,Rhode Island,44,"CARTER, JIMMY",Democrat,227636,410584,55.44200456,408885,55.67237732
1976,Rhode Island,44,"FORD, GERALD",Republican,181249,410584,44.14419461,408885,44.32762268
1980,Rhode Island,44,"CARTER, JIMMY",Democrat,198342,415967,47.68214786,353135,56.16605547
1980,Rhode Island,44,"REAGAN, RONALD",Republican,154793,415967,37.21280775,353135,43.83394453
1984,Rhode Island,44,"REAGAN, RONALD",Republican,212080,410489,51.66520906,409186,51.82973024
1984,Rhode Island,44,"MONDALE, WALTER",Democrat,197106,410489,48.01736466,409186,48.17026976
1988,Rhode Island,44,"DUKAKIS, MICHAEL",Democrat,225123,404622,55.63785459,402884,55.87787055
1988,Rhode Island,44,"BUSH, GEORGE H.W.",Republican,177761,404622,43.93260871,402884,44.12212945
1992,Rhode Island,44,"CLINTON, BILL",Democrat,213299,453365,47.04796356,344900,61.84372282
1992,Rhode Island,44,"BUSH, GEORGE H.W.",Republican,131601,453365,29.02760469,344900,38.15627718
1996,Rhode Island,44,"CLINTON, BILL",Democrat,233050,390247,59.71858848,337733,69.00421339
1996,Rhode Island,44,"DOLE, ROBERT",Republican,104683,390247,26.82480583,337733,30.99578661
2000,Rhode Island,44,"GORE, AL",Democrat,249508,409112,60.98770019,380063,65.64911607
2000,Rhode Island,44,"BUSH, GEORGE W.",Republican,130555,409112,31.91179921,380063,34.35088393
2004,Rhode Island,44,"KERRY, JOHN",Democrat,259760,437134,59.42342623,428806,60.57751058
2004,Rhode Island,44,"BUSH, GEORGE W.",Republican,169046,437134,38.67143713,428806,39.42248942
2008,Rhode Island,44,"OBAMA, BARACK H.",Democrat,296571,471766,62.86400461,461962,64.19813751
2008,Rhode Island,44,"MCCAIN, JOHN",Republican,165391,471766,35.05784647,461962,35.80186249
2012,Rhode Island,44,"OBAMA, BARACK H.",Democrat,279677,446049,62.70095886,436881,64.01674598
2012,Rhode Island,44,"ROMNEY, MITT",Republican,157204,446049,35.24366157,436881,35.98325402
2016,Rhode Island,44,"CLINTON, HILLARY",Democrat,252525,464144,54.40660657,433068,58.31070409
2016,Rhode Island,44,"TRUMP, DONALD J.",Republican,180543,464144,38.8980575,433068,41.68929591
2020,Rhode Island,44,"BIDEN, JOSEPH R. JR",Democrat,307486,516990,59.47619877,507408,60.59935988
2020,Rhode Island,44,"TRUMP, DONALD J.",Republican,199922,516990,38.67038047,507408,39.40064012
1948,South Carolina,45,Harry Truman,Democrat,34423,142571,24.14446136,39809,86.47039614
1948,South Carolina,45,Thomas Dewey,Republican,5386,142571,3.777766867,39809,13.52960386
1952,South Carolina,45,Adlai Stevenson,Democrat,173004,341086,50.72151891,341086,50.72151891
1952,South Carolina,45,Dwight Eisenhower,Republican,168082,341086,49.27848109,341086,49.27848109
1956,South Carolina,45,Adlai Stevenson,Democrat,136372,300583,45.36916592,212072,64.3045758
1956,South Carolina,45,Dwight Eisenhower,Republican,75700,300583,25.18439167,212072,35.6954242
1960,South Carolina,45,John Kennedy,Democrat,198129,386688,51.23743173,386687,51.23756423
1960,South Carolina,45,Richard Nixon,Republican,188558,386688,48.76230967,386687,48.76243577
1964,South Carolina,45,Lyndon Johnson,Democrat,215700,524756,41.10481824,524748,41.1054449
1964,South Carolina,45,Barry Goldwater,Republican,309048,524756,58.89365724,524748,58.8945551
1968,South Carolina,45,Hubert Humphrey,Democrat,197486,666982,29.60889499,451548,43.73532825
1968,South Carolina,45,Richard Nixon,Republican,254062,666982,38.09128282,451548,56.26467175
1972,South Carolina,45,George McGovern,Democrat,189270,677880,27.92087095,667697,28.34669019
1972,South Carolina,45,Richard Nixon,Republican,478427,677880,70.57694577,667697,71.65330981
1976,South Carolina,45,"CARTER, JIMMY",Democrat,450807,802583,56.16951767,796956,56.56610904
1976,South Carolina,45,"FORD, GERALD",Republican,346149,802583,43.12937104,796956,43.43389096
1980,South Carolina,45,"REAGAN, RONALD",Republican,439277,888258,49.45376231,867497,50.63729327
1980,South Carolina,45,"CARTER, JIMMY",Democrat,428220,888258,48.20896631,867497,49.36270673
1984,South Carolina,45,"REAGAN, RONALD",Republican,615539,968529,63.55400819,959998,64.11877941
1984,South Carolina,45,"MONDALE, WALTER",Democrat,344459,968529,35.56517151,959998,35.88122059
1988,South Carolina,45,"BUSH, GEORGE H.W.",Republican,606443,986009,61.50481385,976997,62.07214556
1988,South Carolina,45,"DUKAKIS, MICHAEL",Democrat,370554,986009,37.58119855,976997,37.92785444
1992,South Carolina,45,"BUSH, GEORGE H.W.",Republican,577507,1228912,46.99335673,1103021,52.35684543
1992,South Carolina,45,"CLINTON, BILL",Democrat,525514,1228912,42.76254117,1103021,47.64315457
1996,South Carolina,45,"DOLE, ROBERT",Republican,573339,1150182,49.84767628,1079491,53.11197592
1996,South Carolina,45,"CLINTON, BILL",Democrat,506152,1150182,44.00625292,1079491,46.88802408
2000,South Carolina,45,"BUSH, GEORGE W.",Republican,786892,1383902,56.86038462,1352929,58.16210607
2000,South Carolina,45,"GORE, AL",Democrat,566037,1383902,40.90152337,1352929,41.83789393
2004,South Carolina,45,"BUSH, GEORGE W.",Republican,937974,1617700,57.98194968,1599643,58.63645826
2004,South Carolina,45,"KERRY, JOHN",Democrat,661669,1617700,40.90183594,1599643,41.36354174
2008,South Carolina,45,"MCCAIN, JOHN",Republican,1034896,1920969,53.87364398,1897345,54.54442919
2008,South Carolina,45,"OBAMA, BARACK H.",Democrat,862449,1920969,44.89656002,1897345,45.45557081
2012,South Carolina,45,"ROMNEY, MITT",Republican,1071645,1964118,54.56113126,1937586,55.3082547
2012,South Carolina,45,"OBAMA, BARACK H.",Democrat,865941,1964118,44.08803341,1937586,44.6917453
2016,South Carolina,45,"TRUMP, DONALD J.",Republican,1155389,2103027,54.93933269,2010762,57.46025636
2016,South Carolina,45,"CLINTON, HILLARY",Democrat,855373,2103027,40.67341979,2010762,42.53974364
2020,South Carolina,45,"TRUMP, DONALD J.",Republican,1385103,2514096,55.09348092,2476644,55.92660875
2020,South Carolina,45,"BIDEN, JOSEPH R. JR",Democrat,1091541,2514096,43.4168385,2476644,44.07339125
1948,South Dakota,46,Harry Truman,Democrat,117653,250105,47.04144259,247304,47.57424061
1948,South Dakota,46,Thomas Dewey,Republican,129651,250105,51.83862778,247304,52.42575939
1952,South Dakota,46,Adlai Stevenson,Democrat,90426,294283,30.72756496,294283,30.72756496
1952,South Dakota,46,Dwight Eisenhower,Republican,203857,294283,69.27243504,294283,69.27243504
1956,South Dakota,46,Adlai Stevenson,Democrat,122288,293857,41.61479903,293857,41.61479903
1956,South Dakota,46,Dwight Eisenhower,Republican,171569,293857,58.38520097,293857,58.38520097
1960,South Dakota,46,John Kennedy,Democrat,128070,306487,41.78643792,306487,41.78643792
1960,South Dakota,46,Richard Nixon,Republican,178417,306487,58.21356208,306487,58.21356208
1964,South Dakota,46,Lyndon Johnson,Democrat,163010,293118,55.61241548,293118,55.61241548
1964,South Dakota,46,Barry Goldwater,Republican,130108,293118,44.38758452,293118,44.38758452
1968,South Dakota,46,Hubert Humphrey,Democrat,118023,281264,41.96164458,267864,44.06079204
1968,South Dakota,46,Richard Nixon,Republican,149841,281264,53.27414813,267864,55.93920796
1972,South Dakota,46,George McGovern,Democrat,139945,307415,45.52315274,306421,45.67082543
1972,South Dakota,46,Richard Nixon,Republican,166476,307415,54.15350585,306421,54.32917457
1976,South Dakota,46,"FORD, GERALD",Republican,151505,300678,50.38779026,298573,50.74303437
1976,South Dakota,46,"CARTER, JIMMY",Democrat,147068,300678,48.91212526,298573,49.25696563
1980,South Dakota,46,"REAGAN, RONALD",Republican,198343,327703,60.52523169,302198,65.63345886
1980,South Dakota,46,"CARTER, JIMMY",Democrat,103855,327703,31.6918063,302198,34.36654114
1984,South Dakota,46,"REAGAN, RONALD",Republican,200267,317867,63.0033945,316380,63.29951324
1984,South Dakota,46,"MONDALE, WALTER",Democrat,116113,317867,36.52879978,316380,36.70048676
1988,South Dakota,46,"BUSH, GEORGE H.W.",Republican,165415,312991,52.84976245,310975,53.19237881
1988,South Dakota,46,"DUKAKIS, MICHAEL",Democrat,145560,312991,46.50612957,310975,46.80762119
1992,South Dakota,46,"BUSH, GEORGE H.W.",Republican,136718,336254,40.65914458,261606,52.26103377
1992,South Dakota,46,"CLINTON, BILL",Democrat,124888,336254,37.14097081,261606,47.73896623
1996,South Dakota,46,"DOLE, ROBERT",Republican,150543,323826,46.48885513,289876,51.9335854
1996,South Dakota,46,"CLINTON, BILL",Democrat,139333,323826,43.0271195,289876,48.0664146
2000,South Dakota,46,"BUSH, GEORGE W.",Republican,190700,316269,60.29677268,309504,61.61471257
2000,South Dakota,46,"GORE, AL",Democrat,118804,316269,37.56422539,309504,38.38528743
2004,South Dakota,46,"BUSH, GEORGE W.",Republican,232584,388215,59.91113172,381828,60.9132908
2004,South Dakota,46,"KERRY, JOHN",Democrat,149244,388215,38.44364592,381828,39.0867092
2008,South Dakota,46,"MCCAIN, JOHN",Republican,203054,381975,53.15897637,373978,54.29570723
2008,South Dakota,46,"OBAMA, BARACK H.",Democrat,170924,381975,44.74743111,373978,45.70429277
2012,South Dakota,46,"ROMNEY, MITT",Republican,210610,363815,57.88931188,355649,59.21849914
2012,South Dakota,46,"OBAMA, BARACK H.",Democrat,145039,363815,39.86614076,355649,40.78150086
2016,South Dakota,46,"TRUMP, DONALD J.",Republican,227721,370093,61.53075038,345179,65.97185808
2016,South Dakota,46,"CLINTON, HILLARY",Democrat,117458,370093,31.73742816,345179,34.02814192
2020,South Dakota,46,"TRUMP, DONALD J.",Republican,261043,422609,61.76938967,411514,63.43477986
2020,South Dakota,46,"BIDEN, JOSEPH R. JR",Democrat,150471,422609,35.60525214,411514,36.56522014
1948,Tennessee,47,Harry Truman,Democrat,270402,550283,49.1387159,473316,57.12927516
1948,Tennessee,47,Thomas Dewey,Republican,202914,550283,36.87448095,473316,42.87072484
1952,Tennessee,47,Adlai Stevenson,Democrat,443710,892553,49.71245405,889857,49.86306789
1952,Tennessee,47,Dwight Eisenhower,Republican,446147,892553,49.98549106,889857,50.13693211
1956,Tennessee,47,Adlai Stevenson,Democrat,456507,939404,48.59538601,918795,49.68540316
1956,Tennessee,47,Dwight Eisenhower,Republican,462288,939404,49.21077619,918795,50.31459684
1960,Tennessee,47,John Kennedy,Democrat,481453,1051792,45.77454478,1038030,46.3814148
1960,Tennessee,47,Richard Nixon,Republican,556577,1051792,52.91702162,1038030,53.6185852
1964,Tennessee,47,Lyndon Johnson,Democrat,634947,1143946,55.50498013,1143912,55.50662988
1964,Tennessee,47,Barry Goldwater,Republican,508965,1143946,44.4920477,1143912,44.49337012
1968,Tennessee,47,Hubert Humphrey,Democrat,351233,1248617,28.12976277,823825,42.63441872
1968,Tennessee,47,Richard Nixon,Republican,472592,1248617,37.8492364,823825,57.36558128
1972,Tennessee,47,George McGovern,Democrat,357293,1201182,29.74511773,1170440,30.52638324
1972,Tennessee,47,Richard Nixon,Republican,813147,1201182,67.69556986,1170440,69.47361676
1976,Tennessee,47,"CARTER, JIMMY",Democrat,825879,1476346,55.94074831,1459848,56.57294458
1976,Tennessee,47,"FORD, GERALD",Republican,633969,1476346,42.94176297,1459848,43.42705542
1980,Tennessee,47,"REAGAN, RONALD",Republican,787761,1617616,48.69888775,1570812,50.14992246
1980,Tennessee,47,"CARTER, JIMMY",Democrat,783051,1617616,48.40771852,1570812,49.85007754
1984,Tennessee,47,"REAGAN, RONALD",Republican,990212,1711993,57.83972248,1701926,58.18184809
1984,Tennessee,47,"MONDALE, WALTER",Democrat,711714,1711993,41.57224942,1701926,41.81815191
1988,Tennessee,47,"BUSH, GEORGE H.W.",Republican,947233,1636250,57.89048128,1627027,58.2186405
1988,Tennessee,47,"DUKAKIS, MICHAEL",Democrat,679794,1636250,41.5458518,1627027,41.7813595
1992,Tennessee,47,"CLINTON, BILL",Democrat,933521,1982638,47.08479309,1774821,52.59803665
1992,Tennessee,47,"BUSH, GEORGE H.W.",Republican,841300,1982638,42.43336403,1774821,47.40196335
1996,Tennessee,47,"CLINTON, BILL",Democrat,909146,1894105,47.99871179,1772676,51.28664234
1996,Tennessee,47,"DOLE, ROBERT",Republican,863530,1894105,45.59039758,1772676,48.71335766
2000,Tennessee,47,"BUSH, GEORGE W.",Republican,1061949,2076181,51.14915318,2043669,51.96286679
2000,Tennessee,47,"GORE, AL",Democrat,981720,2076181,47.28489472,2043669,48.03713321
2004,Tennessee,47,"BUSH, GEORGE W.",Republican,1384375,2437319,56.79908949,2420852,57.18544545
2004,Tennessee,47,"KERRY, JOHN",Democrat,1036477,2437319,42.52529111,2420852,42.81455455
2008,Tennessee,47,"MCCAIN, JOHN",Republican,1479178,2599749,56.89695428,2566615,57.6314718
2008,Tennessee,47,"OBAMA, BARACK H.",Democrat,1087437,2599749,41.82853806,2566615,42.3685282
2012,Tennessee,47,"ROMNEY, MITT",Republican,1462330,2458577,59.47871472,2423039,60.35107153
2012,Tennessee,47,"OBAMA, BARACK H.",Democrat,960709,2458577,39.07581499,2423039,39.64892847
